,"scrape_date","product_collections","Brand","Product","Price Per Gram","unit_of_measurement","Product_URL","THC %","CBD %","Prices","availability","product_sku","thc_percent_low_end_of_range","thc_percent_high_end_of_range","cbd_low_end_of_range","cbd_high_end_of_range","grow_method","trimming_method","growing_region","growing_region_cleaned","latitude","longitude","strain_name","plant_type","potency","brand","licensed_producer","long_product_description","Unnamed: 0","terpenes","actual_product_type","product_name_link_markdown"
48,"2023-12-30","Dried Flower","Big Bag O’ Buds","Ultra Sour",3.72,"g","https://ocs.ca/products/ultra-sour-big-bag-o-buds-ultra-sour",25.5,1,104.16,"In stock online",671148601178,22,29,0,2,"Indoor",,"Moncton","Moncton",46.097995,-64.80011,"Ultra Sour","Sativa Dominant","Very Strong","Big Bag O’ Buds","Organigram","Big Buds. Big Terps. Big Bag. Not all flower is worthy of an ounce, except Big Bag. If terpinolene and limonene had a lovechild it’d be Ultra Sour. The tartness of Meyer lemon meets the diesel and pungent notes from the cultivar’s kush undertones. A sativa-leaning sour with outcroppings of orange pistils from deep green, crystal-rich nugs. This bag is a medley of fresh terps that are sweet and fruity on the nose and herbal upon exhale.",,"Beta-Pinene, Caryophyllene, Limonene, Terpenes May Vary, Terpinolene","Dried Flower","[Pink Cookies](https://ocs.ca/products/pink-cookies-big-bag-o-buds)"
49,"2023-12-30","Dried Flower","Big Bag O’ Buds","Pink Cookies",5.36,"g","https://ocs.ca/products/pink-cookies-big-bag-o-buds",23,0.75,150.08,"In stock online",671148601222,20,26,0,1.5,"Hybrid-Greenhouse",,,,,,,"Indica Dominant","Very Strong","Big Bag O’ Buds","ORGANIGRAM INC.","Pink Cookies, an indica-dominant strain, features a refreshing mint flavour that it gets from its famous GSC lineage. Pair that with a sweet finish, thanks to its other parent Cherry Pie and you’ve got a Big Bag filled with a complex and flavourful bud. All the flavour, all the potency – in one Big Bag o’ Buds.",,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene","Dried Flower","[Kush Mints](https://ocs.ca/products/kush-mints-tweed)"
50,"2023-12-30","Dried Flower","Big Bag O’ Buds","GMO Cookies",3.72,"g","https://ocs.ca/products/gmo-cookies-big-bag-o-buds",24,0.5,104.16,"In stock online",671148601246,20,28,0,1,"Indoor",,,,,,,"Indica Dominant","Very Strong","Big Bag O’ Buds","ORGANIGRAM INC.","GMO Cookies is notorious for its high THC potency and powerful aromas. An all-star cross between Chemdawg x GSC, this indica strain has a massive aroma profile with a dank and musty smell right from the beginning, followed closely by an intense diesel and citrusy undertone. These potent crown-shaped buds are dark green with patches of purple and bright orange pistils. The colourful buds are dripping in a shiny layer of trichomes.",,"Caryophyllene, Germacrene, Humulene, Limonene, Myrcene","Dried Flower","[Elios Reserve Dark Shadow Haze](https://ocs.ca/products/elios-reserve-dark-shadow-haze-elios-reserve)"
51,"2023-12-30","Dried Flower","Big Bag O’ Buds","Dough Lato",,,"https://ocs.ca/products/dough-lato-big-bag-o-buds",21,0.5,,,,18,24,0,1,"Indoor",,,,,,,"Indica Dominant","Very Strong","Big Bag O’ Buds","ORGANIGRAM INC.","Dough Lato has a rich genetic background with Dolato and Moonbow coming together to create one beauty of a bud. For those who like to go deep that’s Dolato (Gelato 41 x Do-Si-Dos) and Moonbow (Zktlz x Do-Si-Dos). The name Dough Lato might make you think of a nice quiet doughnut shop that serves little coffees. The aroma is burnt rubber meets gas and sweet dough. Buds are very dense and take on a diverse galaxy of greens and purples, with brighter yellowy-green pistils that pop like flairs from a tailpipe.",,"Alpha-Bisabolol, Caryophyllene, Humulene, Limonene, Linalool","Dried Flower","[Bush League Sour Kush Milled Flower](https://ocs.ca/products/bush-league-sour-kush-milled-flower-back-forty)"
52,"2023-12-30","Dried Flower","BLK MKT","LA WoMac",14.33,"g","https://ocs.ca/products/lee-anne-womac-blk-mkt",31,0.5,50.16,"In stock online",834407000499,28,34,0,1,"Indoor",,"Okanagan","Okanagan",49.91087735,-119.1392373287,,"Hybrid","Very Strong","BLK MKT","Alberta Craft Cannabis Inc","LA WoMac delivers a unique experience. A cross of Watermelon OG x MAC, this highly potent offering has a complex terpene profile, with a variety of aromas – floral notes, with a bit of honey, pine and gassy undertones. Zesty, but pungent with a creamy exhale. Crafted, cured & packaged by hand.",,,"Dried Flower","[Berry Smasher](https://ocs.ca/products/berry-smasher-muskoka-grown)"
55,"2023-12-30","Dried Flower","BOLD","Root Beer Float",11.41,"g","https://ocs.ca/products/root-beer-float-bold-growth",34,0.5,39.94,"In stock online",628176417035,31,37,0,1,"Indoor",,"Saskatoon, SK","Saskatoon",52.131802,-106.660767,,"Indica Dominant","Very Strong","BOLD","Bold Growth","Root Beer Float is an indica-dominant strain created through crossing XXX OG and Vanilla Kush. Enter into a sweet, earthy aroma with hints of lemon and pine. Enjoy the classic Root Beer flavour combined with frothy vanilla notes. BOLD’s Root Beer Float is hang-dried, slow cured and dry trimmed by hand to accentuate the rich amber pistils and creamy vanilla trichomes.",,,"Dried Flower","[Mango Haze Pre-Roll](https://ocs.ca/products/mango-haze-pre-roll-color-cannabis)"
58,"2023-12-30","Dried Flower","Bon Voyage!","Flight 077 Craft Sapphire Cookies",,,"https://ocs.ca/products/flight-077-craft-sapphire-cookies-bon-voyage",27,0.05,,,,24,30,0,0.1,"Indoor",,"Saint-Laurent, QC","Saint-Laurent",45.5088774,-73.6875187,,"Indica Dominant","Very Strong","Bon Voyage!","LyonLeaf Cannabis Inc.","Craft-grown at Lyonleaf's state-of-the-art indoor facility, hang dried, fully hand trimmed, slowly cold cured and hand packaged in fully recyclable pouches sourced from Ontario-based manufacturer with optimal humidity, freshness and aroma. Craft Sapphire Cookies, an indica-dominant cross between legendary heavyweights GSC and True OG, is incredibly delicious and highly potent. This strain features shining trichomes and orange pistils that reflect the flower's dreamy blueberry undertone with a freshly oven-baked sweet cookies flavour.",,"Caryophyllene, Farnasene, Limonene, Linalool, Myrcene","Dried Flower","[B. Banner Pre-Roll](https://ocs.ca/products/b-banner-pre-roll-argentia-gold)"
60,"2023-12-30","Dried Flower","Bonfire","Golden Grape",,,"https://ocs.ca/products/golden-grape-bonfire",29,0.5,,,,26,32,0,1,"Indoor",,"Southwestern Ontario",,,,,"Indica Dominant","Very Strong","Bonfire","GreenSeal Cannabis Company Ltd.","The best of the best of cannabis experiences. The moment the package opens the room fills with the sweet aroma of juicy grapes. The visual bag appeal of chunky, sticky orbs of golden green flower combined with a pinene-forward terpene profile and lofty THC levels have pushed Golden Grape to the forefront of our production focus. Golden Grape began in a dedicated cannabis nursery, where this overachiever rose to the top of our never-ending phenotype hunt for the highest performing genetics. The team fully embraced the challenge of bringing out the best qualities of this outstanding specimen. They start by cultivating in small batches so each plant receives the full attention it deserves through each phase of the grow. Harvested at peak ripeness, each plant is hang-dried and slowly finished to achieve perfect moisture. Finally, each bud is inspected and hand trimmed with the utmost care by the dedicated quality control team, ensuring that every bag achieves its maximum visual potential.",,"Alpha-Humulene, Alpha-Pinene, Beta-Caryophyllene, Beta-Pinene, Myrcene","Dried Flower","[Platinum Cookies Pre-Rolls](https://ocs.ca/products/platinum-cookies-pre-rolls-palmetto)"
63,"2023-12-30","Dried Flower","Broken Coast","Sour OG",8.56,"g","https://ocs.ca/products/sour-og-broken-coast-sour-og",25,1,119.84,"In stock online",628242321334,22,28,0,2,"Indoor",,"Duncan","Duncan",48.7786872,-123.7080446,"Sour OG","Sativa Dominant","Very Strong","Broken Coast","BROKEN COAST CANNABIS LTD.","A cross of the famous OG Kush x Sour Diesel strains, Sour OG is a legend in its own right. A superb sativa cultivar known for its bright green buds with extensive trichome coverage and copious lime and diesel aromas. With high THC potency and 3-5% terpenes comprised mainly of myrcene, caryophyllene and limonene, this pungent phenotype is well-balanced while retaining the best qualities of its celebrated parents.",,,"Dried Flower","[Pure Sun CBD Pre-Rolls](https://ocs.ca/products/pure-sun-cbd-pre-rolls-pure-sunfarms)"
68,"2023-12-30","Dried Flower","Buddy Blooms","Busted Up Half oz Indica Milled Flower",4,"g","https://ocs.ca/products/busted-up-half-oz-indica-milled-flower-buddy-blooms",25,0.5,56,"In stock online",876936000700,22,28,0,1,"Indoor",,"St. Thomas","St. Thomas",42.779022,-81.1929882,,"Indica Dominant","Very Strong","Buddy Blooms","MERA CANNABIS CORP.","The same potent indica flower you will find in our pre-rolls, milled in bulk and packaged with a Boveda pack.",,,"Dried Flower","[10th Planet Pre-Rolls](https://ocs.ca/products/10th-planet-pre-rolls-countryside)"
71,"2023-12-30","Dried Flower","Buddy Blooms","Busted Up Half oz Sativa",4,"g","https://ocs.ca/products/busted-up-half-oz-sativa-buddy-blooms",21.5,0.5,56,"In stock online",876936000717,18,25,0,1,,,,,,,,"Sativa Dominant","Very Strong","Buddy Blooms","Mera Cannabis","Busted Up Half oz Sativa",,,"Dried Flower","[ICC + MAC-1 Pre-Roll Combo Pack](https://ocs.ca/products/icc-mac-1-pre-roll-combo-pack-edison-cannabis-co)"
73,"2023-12-30","Dried Flower","CALI","PINK DIAMONDS",11.04,"g","https://ocs.ca/products/pink-diamonds-cali",27,1,38.64,"In stock online",627570220814,24,30,0,2,"Indoor",,"Toronto","Toronto",43.6534817,-79.3839347,,"Hybrid","Very Strong","CALI","SESS Holdings","Pink Diamonds crafted by CALI is a distinctive trichome structure coupled with hints of vanilla and cotton candy aromas and glimmering buds. This high THC strain is crossed with the familiar Pink Kush and Black Diamond. Pink Diamonds is hang dried, hand-trimmed, cured for 28 days with no irradiation or pesticides.",,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene","Dried Flower","[33 Splitter](https://ocs.ca/products/33-splitter-true-fire-co-ltd)"
74,"2023-12-30","Dried Flower","CALI","Mmmosa Evo",11.04,"g","https://ocs.ca/products/mmmosa-evo-cali",25,0,38.64,"In stock online",627570221712,22,28,0,0,"Indoor",,"Toronto","Toronto",43.6534817,-79.3839347,,"Sativa Dominant","Very Strong","CALI","2589991 ONTARIO INC. (d.b.a. SESS Holdings)","Strong citrus aromas coupled with lemon and berry flavour profiles describe highly potent Mmmosa Evo cultivated by CALI's team. The plant is known to produce strong, flavoursome buds filled with resin and is a cross between the famous Purple Punch x Clementine. Grown indoors and locally (Toronto), harvest is done by hand, followed by hang drying, hand-trimming, and curing for 28 days to maintain its terpene and cannabinoid profiles. Another quality dried flower for the connoisseur.",,,"Dried Flower","[Purple Balance Pre-Roll](https://ocs.ca/products/purple-balance-pre-rolls-pinnrz)"
75,"2023-12-30","Dried Flower","CALI","CALI's Drip",,,"https://ocs.ca/products/calis-drip-cali-mac-v2",25.5,0,,,,22,29,0,0,"Indoor",,"Toronto","Toronto",43.6534817,-79.3839347,"Mac V2","Indica Dominant","Very Strong","CALI","2589991 ONTARIO INC. (d.b.a. SESS Holdings)","THE DRIP! The most unique strains are meticulously selected and grown by CALI, then hand-picked by a group of cannabis sommeliers; no doubt, the Drip will deliver what our connoisseurs want! Always grown indoors under full spectrum, hung dried and cured for 28 days, then hand-trimmed. Certified Craft all the way.",,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool","Dried Flower","[HHH Pre-Roll](https://ocs.ca/products/hhh-pre-roll-the-bc-bud-co)"
81,"2023-12-30","Dried Flower","Canaca","Indica 24",4.46,"g","https://ocs.ca/products/indica-24-canaca",23.75,0.5,31.22,"In stock online",826966012877,20.5,27,0,1,"Greenhouse",,"Leamington, ON","Leamington",42.0531166,-82.5996998,,"Indica Dominant","Very Strong","Canaca","High Park","Canaca's Indica 24 milled flower is carefully crafted using a proprietary blend of highly aromatic, trichome-dense, hand-harvested indica whole flower to yield a delightful combination of fruity, herbal and earthy flavours. Indica 24 is milled into a ready to roll product for convenience and provides a potent THC experience.",,,"Dried Flower","[Pineapple Nuken](https://ocs.ca/products/pineaple-nuken-divvy)"
82,"2023-12-30","Dried Flower","Canaca","Alien Guy",6.25,"g","https://ocs.ca/products/alien-guy-canaca",24,1,43.75,"In stock online",826966013232,21,27,0,2,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Sativa Dominant","Very Strong","Canaca","APHRIA INC.","Alien Guy is a supernatural sativa made from a cross of Jean Guy x Alien Dawg with THC potency. Keep your head in the clouds with the bold sour citrus aromas and hints of lemon and sweet pine. Dense emerald green buds dappled with fiery amber pistils and absolutely blanketed in trichomes, this is one unique strain you’ll have trouble putting down",,"Beta-Caryophyllene, Humulene, Limonene, Linalool, Terpinolene","Dried Flower","[Banjo-GPS](https://ocs.ca/products/grandpas-stash-ouest)"
84,"2023-12-30","Dried Flower","Canaca Bursts","Fruitsplosion",4.46,"g","https://ocs.ca/products/fruitsplosion-canaca-bursts",22,1,31.22,"In stock online",826966013270,19,25,0,2,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Sativa Dominant","Very Strong","Canaca Bursts","APHRIA INC.","Canaca Bursts Fruitsplosion is a terpene-rich milled flower featuring the bold, unexpected flavour combination of mango, blueberry and lychee – four custom-curated strains that bring extraordinary aromas with 2% terpenes for an unforgettably fruity experience. Bursts are so unbelievably bold, you’ll need to experience them to believe their strong, consistent and unique effects.",,"Alpha-Bisabolol, Alpha-Cedrene, Beta-Caryophyllene, Guaiol, Linalool","Dried Flower","[Blackberry Gelato Pre-Rolls](https://ocs.ca/products/blackberry-gelato-pre-rolls-wildlife)"
85,"2023-12-30","Dried Flower","Canaca Bursts","Parmigiano Dankiano",,,"https://ocs.ca/products/parmigiano-dankiano-canaca-bursts",22,1,,,,19,25,0,2,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Indica Dominant","Very Strong","Canaca Bursts","APHRIA INC.","Canaca Bursts Parmigiano Dankiano is a terpene-rich milled flower featuring the bold, unexpected flavour combination of black pepper, parmesan and diesel – four custom-curated strains that bring extraordinary aromas with 2% terpenes for an unforgettably dank experience. Bursts are so unbelievably bold, you’ll need to experience them to believe their strong, consistent and unique effects.",,"Alpha-Humulene, Beta-Caryophyllene, Beta-Myrcene, Delta-Limonene, Nerolidol","Dried Flower","[Reserva Privada OG18](https://ocs.ca/products/reserva-privada-og18-strain-rec)"
86,"2023-12-30","Dried Flower","Canaca Bursts","Magic Mochaccino",4.46,"g","https://ocs.ca/products/bursts-magic-mochaccino-canaca-bursts",22,0.5,31.22,"In stock online",694144015572,19,25,0,1,"Greenhouse",,"Leamington","Leamington",42.0531166,-82.5996998,,"Hybrid","Very Strong","Canaca Bursts","APHRIA INC.","Magic Mochaccino Bursts are terpene-rich milled flower with the bold and unexpected flavour combination of cherry, mocha and mud pie. Made from a blend of four custom curated strains that bring extraordinary aromas, featuring 2% terpenes.",,"Alpha-Bisabolol, Caryophyllene, Limonene, Myrcene, Trans-Nerolidol","Dried Flower","[Royal Collection Redees Pre-Roll (King Pack)](https://ocs.ca/products/royal-collection-redees-pre-roll-king-pack-redecan)"
90,"2023-12-30","Dried Flower","Canna Connect","Sunrise Sesh",,,"https://ocs.ca/products/sunrise-sesh-canna-connect-future-1",23,0.5,,,,20,26,0,1,"Indoor",,"Brantford","Brantford",43.1408157,-80.2631733,"Future #1","Sativa Dominant","Very Strong","Canna Connect","Pharmhill Inc.","Coming from Anesia Seeds, Sunrise Sesh crosses Original Glue and Starfighter. This potent strain offers a delicious pineapple, citrus and mango terpene profile.",,"Beta-Myrcene, Limonene, Terpinolene","Dried Flower","[All Flower (3CT) FPOG Pre-Roll](https://ocs.ca/products/all-flower-3ct-fpog-pre-roll-greybeard)"
